aktifitas,tanggal,kategori,catatan,isPengeluaran,jumlah
Roti dan Maizon,2024-03-04,['Makan'],,True,15000
Bensin,2024-03-04,['Kuliah'],,True,20000
Gorengan,2024-03-05,['Makan'],,True,10000
Mie dan biskuit,2024-03-06,['Makan'],,True,36000
Tempe,2024-03-06,['Makan'],,True,10000
Iuran perumahan,2024-03-06,['Iuran'],,True,50000
Bensin,2024-03-07,['Kuliah'],,True,20000
Nasi kuning,2024-03-07,['Makan'],,True,10000
Tarik uang kiriman,2024-03-07,['Gajian'],,False,1000000
Big Saving,2024-03-07,['Tabungan'],Uang saving cost bulan lalu,True,400000
Jajan,2024-03-07,['Makan'],,True,10000
Makan pagi,2024-03-08,['Makan'],,True,7000
Balon motor,2024-03-08,['Belanja'],,True,25000
Balon motor lagi,2024-03-08,['Belanja'],,True,15000
Mie dan biskuit,2024-03-09,['Makan'],,True,35000
Sari lauk,2024-03-09,['Makan'],,True,18000
Es Teler,2024-03-11,['Makan'],Beli 2 gelas,True,20000
Minyak goreng dan tissu,2024-03-12,['Belanja'],,True,36000
Tempe,2024-03-12,['Makan'],,True,10000
Galon,2024-03-12,['Makan'],,True,5000
Bensin,2024-03-13,['Belanja'],,True,20000
Nyebrang,2024-03-13,['Belanja'],,True,2000
Nyebrang,2024-03-13,['Belanja'],,True,2000
Kirim paket kerudung,2024-03-13,['Belanja'],,True,25000
Ayam Sari Lauk,2024-03-13,['Makan'],,True,18000
Beras,2024-03-15,['Makan'],,True,60000
Es Buah,2024-03-15,['Makan'],,True,10000
Jalangkote,2024-03-15,['Makan'],,True,10000
Mie,2024-03-16,['Makan'],,True,23000
Bensin,2024-03-19,['Makan'],,True,20000
Es Buah,2024-03-20,['Makan'],,True,10000
Donat,2024-03-21,['Makan'],,True,10000
Bensin,2024-03-23,['Kuliah'],,True,20000
Uang saku VSGA,2024-03-23,"['Hadiah', 'Kuliah']",,False,360000
Novel,2024-03-23,['Kuliah'],,True,109000
Parkir,2024-03-23,['Belanja'],,True,5000
Nyebrang,2024-03-23,['Belanja'],,True,2000
Mie dan Popice Saset,2024-03-23,['Makan'],,True,39500
Big Saving,2024-03-23,['Tabungan'],,True,200000
Ayam sari lauk,2024-03-26,['Makan'],,True,36000
Mie dan biskuit,2024-03-27,['Makan'],,True,37000
Es buah,2024-03-29,['Makan'],,True,10000
Bensin,2024-04-02,['Kuliah'],,True,20000
Bensin,2024-03-31,['Kuliah'],,True,10000
Kabel data Type C,2024-04-02,"['Kuliah', 'Kuliah']",,True,28000
Parkir,2024-04-02,"['Belanja', 'Kuliah']",,True,3000
Galon,2024-04-02,['Makan'],,True,5000
Jalkot dan donat,2024-04-02,['Makan'],,True,10000
Kacang-kacangan,2024-04-03,['Makan'],,True,37000
Sari Lauk,2024-04-03,['Makan'],,True,36000
Uang dari Kak Indah,2024-04-13,['Hadiah'],,False,50000
Uang dari Mamak,2024-04-19,['Hadiah'],,False,35000
Tukar uang dari Tulla,2024-04-20,['Gajian'],"Tulla minta di transfer 200k, baru sa ambil uang 200k di dompetnya.",False,200000
Bayar Iuran,2024-04-20,['Iuran'],,True,50000
Dikasi uang sama Kak Zul,2024-04-20,['Hadiah'],,False,50000
Kompa ban,2024-04-21,['Belanja'],,True,2000
Beli anti gores hp,2024-04-21,['Belanja'],,True,15000
Bayar parkir,2024-04-21,['Belanja'],,True,3000
Bensin,2024-04-22,['Kuliah'],,True,20000
Print jurnal,2024-04-22,['Kuliah'],,True,4000
Jajan,2024-04-22,"['Kuliah', 'Makan']",,True,4000
Nasi Kuning,2024-04-22,"['Kuliah', 'Makan']",,True,10000
Kertas HVS A4 satu ring,2024-04-22,['Kuliah'],,True,54000
Makan siang,2024-04-23,"['Kuliah', 'Makan']",,True,12000
Jajan,2024-04-23,['Makan'],,True,10000
Nyebrang,2024-04-23,['Belanja'],,True,4000
Beli mie,2024-04-23,['Makan'],,True,27000
Bensin,2024-04-25,['Kuliah'],,True,20000
Jajan Kopikap,2024-04-25,['Makan'],,True,6000
Nasi Kuning,2024-04-25,['Makan'],,True,12000
Cukur Rambut,2024-04-25,['Belanja'],,True,20000
Kopi Kenangan,2024-04-26,['Makan'],,True,23000
Paket COD,2024-04-27,['Belanja'],,True,70000
"Mie, Super Bubur, dan Sosis",2024-04-27,['Makan'],,True,42000
Tempe,2024-04-27,['Makan'],,True,10000
Kopi expreso,2024-04-28,['Makan'],,True,22000
Bensin,2024-04-28,['Belanja'],,True,20000
Jajan,2024-04-30,['Makan'],,True,5000
Jajan,2024-05-02,"['Kuliah', 'Makan']",,True,10000
Makan siang,2024-05-02,"['Kuliah', 'Makan']",,True,12000
Nasi Kuning,2024-05-03,"['Kuliah', 'Makan']",,True,12000
Jajan,2024-05-03,"['Kuliah', 'Makan']",,True,5000
Bensin,2024-05-03,['Kuliah'],,True,15000
Tarik Uang Kiriman Bapak,2024-05-03,['Gajian'],,False,700000
Nyebrang,2024-05-03,['Belanja'],,True,2000
Sepatu untuk lari,2024-05-03,['Kuliah'],,True,171000
Nyebrang,2024-05-05,['Belanja'],,True,5000
Bensin,2024-05-05,['Belanja'],Pas pigi ambil kiriman di Maccini,True,20000
Beli Kacang,2024-05-05,"['Belanja', 'Jajan']",,True,10000
Maizon,2024-05-06,['Jajan'],,True,7000
Bayar Iuran Perumahan,2024-05-07,['Iuran'],,True,50000
Jajan,2024-05-08,['Jajan'],,True,5000
Es Teh,2024-05-08,['Makan'],Di kafe Warkop DM,True,15000
Nasi Goreng,2024-05-08,['Makan'],Di pertigaan mesjid dekat rumahnya Ari,True,16000
Masuk Pantai Tanjung Bayam,2024-05-09,['Belanja'],,True,5000
Air Mineral,2024-05-09,['Makan'],,True,5000
Bensin,2024-05-09,['Belanja'],,True,20000
Teh Susu,2024-05-10,['Makan'],Pigi diskusi di kafe sama Pak Syafar,True,10000
Lampu depan motor,2024-05-10,['Makan'],,True,10000
Nasi Kuning,2024-05-12,['Makan'],,True,10000
Donat,2024-05-12,['Makan'],,True,5000
Mie,2024-05-12,['Makan'],,True,21000
Nasi Goreng,2024-05-14,['Makan'],,True,10000
Donat,2024-05-14,"['Jajan', 'Makan']",,True,10000
Ayam Krispi,2024-05-15,['Makan'],,True,14000
Bensin,2024-05-16,['Kuliah'],,True,20000
Jajan,2024-05-16,"['Jajan', 'Kuliah']",,True,5000
Nasi Kuning,2024-05-17,['Makan'],,True,12000
Jajan,2024-05-17,"['Jajan', 'Kuliah']",,True,6000
Makan,2024-05-19,['Makan'],,True,10000
Bensin,2024-05-20,"['Belanja', 'Kuliah']",,True,20000
Makan,2024-05-20,['Makan'],,True,12000
Sewa lapangan,2024-05-20,['Belanja'],,True,12000
Bersihkan Kabulator,2024-05-20,['Belanja'],,True,37000
Nasi Kuning,2024-05-21,['Makan'],,True,12000
Jajan,2024-05-21,"['Jajan', 'Makan']",,True,4000
Nasi kuning,2024-05-22,"['Kuliah', 'Makan']",,True,12000
Jajan,2024-05-22,['Jajan'],,True,4000
Tarik uang kiriman Bapak,2024-05-22,['Gajian'],,False,500000
Beli oli,2024-05-22,['Belanja'],,True,50000
Beli balon motor,2024-05-22,['Belanja'],,True,10000
Gorengan,2024-05-22,"['Jajan', 'Makan']",,True,10000
Bensin,2024-05-23,['Belanja'],Pas pigi ke Barru dengan anak2 INR,True,30000
Minuman Thaites,2024-05-23,"['Jajan', 'Makan']",Pas pigi ke Barru dengan anak2 INR,True,18000
Biskuit Tango,2024-05-23,"['Jajan', 'Makan']",Pas pigi ke Barru dengan anak2 INR,True,9000
Bensin,2024-05-24,['Belanja'],Pas pigi ke Barru dengan anak2 INR,True,20000
Minuman,2024-05-24,['Makan'],Pas pigi ke Barru dengan anak2 INR,True,8000
Kaos Kaki,2024-05-24,['Belanja'],Pas pigi ke Barru dengan anak2 INR,True,15000
Air minum,2024-05-24,['Makan'],Pas pigi ke Barru dengan anak2 INR,True,2000
Ckck Tiram,2024-05-24,['Makan'],Pas pigi ke Barru dengan anak2 INR,True,14000
